11 1
829 1 0
31 1 2 0
6 1 2 3 0
1 1 2 3 4 0
12 8 3 11 1 9 0
16 8 3 11 1 10 0
5 8 3 11 2 1 0
3 8 3 11 2 5 0
2 8 3 11 2 9 0
4 8 3 11 2 10 0
1 8 3 11 4 0
2 8 3 11 4 2 0
1 8 3 11 4 7 0
1 8 3 11 4 9 0
1 8 3 11 4 10 0
4 8 3 11 5 0
9 8 3 11 5 1 0
3 8 3 11 5 2 0
5 8 3 11 5 4 0
5 8 3 11 5 7 0
12 8 3 11 5 9 0
12 8 3 11 5 10 0
1 8 3 11 6 0
1 8 3 11 6 2 0
1 8 3 11 6 4 0
3 8 3 11 6 5 0
1 8 3 11 6 10 0
1 8 3 11 7 0
7 8 3 11 7 1 0
2 8 3 11 7 2 0
1 8 3 11 7 4 0
1 8 3 11 7 5 0
1 8 3 11 7 10 0
9 8 3 11 9 0
16 8 3 11 9 1 0
3 8 3 11 9 2 0
3 8 3 11 9 4 0
3 8 3 11 9 5 0
3 8 3 11 9 7 0
5 8 3 11 9 10 0
8 8 3 11 10 0
20 8 3 11 10 1 0
9 8 3 11 10 2 0
3 8 3 11 10 4 0
6 8 3 11 10 5 0
2 8 3 11 10 6 0
5 8 3 11 10 7 0
2 8 3 11 10 9 0
129 8 4 0
18 8 4 1 0
1 8 4 1 2 5 0
1 8 4 1 2 10 0
1 8 4 1 2 11 0
2 8 4 1 3 5 0
3 8 4 1 3 10 0
1 8 4 1 5 0
2 8 4 1 5 3 0
1 8 4 1 5 9 0
4 8 4 1 5 10 0
2 8 4 1 5 11 0
1 8 4 1 7 0
1 8 4 1 7 9 0
4 8 4 1 9 0
1 8 4 1 9 3 0
1 8 4 1 9 5 0
1 8 4 1 9 7 0
1 8 4 1 9 10 0
1 8 4 1 9 11 0
1 8 4 1 10 2 0
3 8 4 1 10 3 0
1 8 4 1 10 5 0
1 8 4 1 10 7 0
3 8 4 1 10 9 0
1 8 4 1 11 3 0
1 8 4 1 11 5 0
4 8 4 1 11 9 0
3 8 4 1 11 10 0
2 8 4 2 1 3 0
8 8 4 2 1 11 0
1 8 4 2 3 1 0
1 8 4 2 3 11 0
1 8 4 2 5 7 0
1 8 4 2 5 9 0
1 8 4 2 6 11 0
1 8 4 2 7 10 0
1 8 4 2 10 3 0
1 8 4 2 10 7 0
2 8 4 2 11 5 0
19 8 4 3 0
1 8 4 3 1 0
4 8 4 3 1 2 0
2 8 4 3 1 5 0
1 8 4 3 1 7 0
2 8 4 3 1 9 0
4 8 4 3 1 10 0
2 8 4 3 1 11 0
1 8 4 3 2 1 0
1 8 4 3 2 5 0
2 8 4 3 5 1 0
1 8 4 3 5 2 0
1 8 4 3 5 9 0
4 8 4 3 5 10 0
10 8 4 3 5 11 0
1 8 4 3 6 10 0
1 8 4 3 7 0
2 8 4 3 7 1 0
1 8 4 3 7 2 0
3 8 4 3 7 11 0
1 8 4 3 9 0
1 8 4 3 9 1 0
1 8 4 3 9 2 0
2 8 4 3 9 7 0
5 8 4 3 9 10 0
2 8 4 3 9 11 0
6 8 4 3 10 1 0
3 8 4 3 10 2 0
1 8 4 3 10 5 0
1 8 4 3 10 7 0
4 8 4 3 10 11 0
2 8 4 3 11 0
3 8 4 3 11 5 0
3 8 4 3 11 7 0
5 8 4 3 11 9 0
4 8 4 3 11 10 0
3 8 4 5 0
1 8 4 5 1 0
1 8 4 5 1 3 0
2 8 4 5 2 0
2 8 4 5 2 1 0
1 8 4 5 2 10 0
1 8 4 5 3 1 0
3 8 4 5 3 9 0
3 8 4 5 7 1 0
1 8 4 5 7 2 0
1 8 4 5 7 9 0
1 8 4 5 9 1 0
1 8 4 5 9 2 0
1 8 4 5 9 3 0
1 8 4 5 9 11 0
2 8 4 5 10 0
5 8 4 5 10 1 0
7 8 4 5 10 2 0
1 8 4 5 10 3 0
1 8 4 5 10 9 0
1 8 4 5 11 2 0
3 8 4 5 11 3 0
1 8 4 5 11 9 0
2 8 4 6 0
1 8 4 6 3 5 0
1 8 4 6 5 9 0
1 8 4 6 7 9 0
2 8 4 6 10 5 0
1 8 4 6 10 9 0
1 8 4 6 11 10 0
3 8 4 7 0
1 8 4 7 1 0
1 8 4 7 1 2 0
2 8 4 7 1 5 0
1 8 4 7 1 9 0
1 8 4 7 1 11 0
1 8 4 7 2 0
6 8 4 7 2 1 0
1 8 4 7 2 5 0
1 8 4 7 2 11 0
1 8 4 7 5 3 0
3 8 4 7 5 10 0
1 8 4 7 5 11 0
1 8 4 7 10 1 0
1 8 4 7 10 5 0
1 8 4 7 11 1 0
2 8 4 7 11 2 0
3 8 4 7 11 5 0
2 8 4 7 11 9 0
22 8 4 9 0
4 8 4 9 1 0
1 8 4 9 1 3 0
2 8 4 9 1 5 0
2 8 4 9 1 10 0
3 8 4 9 1 11 0
2 8 4 9 2 1 0
2 8 4 9 2 5 0
2 8 4 9 2 7 0
1 8 4 9 2 11 0
1 8 4 9 3 0
4 8 4 9 3 5 0
1 8 4 9 3 6 0
1 8 4 9 3 7 0
2 8 4 9 3 10 0
2 8 4 9 3 11 0
1 8 4 9 5 0
2 8 4 9 5 3 0
2 8 4 9 5 10 0
2 8 4 9 5 11 0
1 8 4 9 7 1 0
1 8 4 9 7 3 0
1 8 4 9 7 10 0
2 8 4 9 7 11 0
4 8 4 9 10 0
5 8 4 9 10 1 0
5 8 4 9 10 2 0
6 8 4 9 10 3 0
2 8 4 9 10 7 0
3 8 4 9 10 11 0
2 8 4 9 11 0
1 8 4 9 11 2 0
4 8 4 9 11 3 0
2 8 4 9 11 5 0
4 8 4 9 11 10 0
10 8 4 10 0
3 8 4 10 1 0
1 8 4 10 1 2 0
3 8 4 10 1 3 0
2 8 4 10 1 9 0
2 8 4 10 2 0
8 8 4 10 2 1 0
2 8 4 10 2 3 0
1 8 4 10 2 5 0
1 8 4 10 2 9 0
1 8 4 10 2 11 0
1 8 4 10 3 1 0
1 8 4 10 3 2 0
4 8 4 10 3 5 0
2 8 4 10 3 7 0
3 8 4 10 3 9 0
6 8 4 10 3 11 0
2 8 4 10 5 0
4 8 4 10 5 1 0
3 8 4 10 5 7 0
3 8 4 10 5 9 0
2 8 4 10 5 11 0
2 8 4 10 6 0
4 8 4 10 7 1 0
1 8 4 10 7 2 0
2 8 4 10 7 3 0
1 8 4 10 9 0
1 8 4 10 9 1 0
1 8 4 10 9 2 0
2 8 4 10 9 3 0
3 8 4 10 9 5 0
1 8 4 10 9 7 0
2 8 4 10 11 2 0
1 8 4 10 11 3 0
1 8 4 10 11 5 0
1 8 4 10 11 9 0
11 8 4 11 0
1 8 4 11 1 0
1 8 4 11 1 3 0
1 8 4 11 1 7 0
2 8 4 11 2 1 0
3 8 4 11 2 7 0
1 8 4 11 2 9 0
4 8 4 11 2 10 0
1 8 4 11 3 0
2 8 4 11 3 1 0
2 8 4 11 3 2 0
1 8 4 11 3 5 0
1 8 4 11 3 6 0
1 8 4 11 3 7 0
7 8 4 11 3 9 0
2 8 4 11 3 10 0
1 8 4 11 5 2 0
3 8 4 11 5 3 0
1 8 4 11 5 7 0
1 8 4 11 5 9 0
4 8 4 11 5 10 0
1 8 4 11 7 1 0
2 8 4 11 7 2 0
3 8 4 11 7 3 0
2 8 4 11 7 9 0
5 8 4 11 7 10 0
1 8 4 11 9 0
2 8 4 11 9 1 0
2 8 4 11 9 7 0
1 8 4 11 9 10 0
1 8 4 11 10 0
2 8 4 11 10 3 0
371 8 5 0
76 8 5 1 0
1 8 5 1 2 0
2 8 5 1 2 3 0
1 8 5 1 2 4 0
3 8 5 1 2 7 0
2 8 5 1 2 9 0
2 8 5 1 2 10 0
3 8 5 1 2 11 0
38 8 5 1 3 0
5 8 5 1 3 2 0
2 8 5 1 3 7 0
8 8 5 1 3 9 0
36 8 5 1 3 10 0
3 8 5 1 3 11 0
1 8 5 1 4 0
1 8 5 1 4 2 0
1 8 5 1 6 0
1 8 5 1 7 0
1 8 5 1 7 10 0
1 8 5 1 7 11 0
2 8 5 1 9 0
2 8 5 1 9 2 0
8 8 5 1 9 3 0
1 8 5 1 9 4 0
7 8 5 1 9 10 0
1 8 5 1 9 11 0
14 8 5 1 10 0
4 8 5 1 10 2 0
20 8 5 1 10 3 0
3 8 5 1 10 4 0
1 8 5 1 10 6 0
7 8 5 1 10 7 0
8 8 5 1 10 9 0
6 8 5 1 10 11 0
2 8 5 1 11 0
1 8 5 1 11 2 0
4 8 5 1 11 3 0
2 8 5 1 11 4 0
1 8 5 1 11 6 0
2 8 5 1 11 7 0
1 8 5 1 11 9 0
5 8 5 1 11 10 0
7 8 5 2 0
4 8 5 2 1 0
3 8 5 2 1 7 0
4 8 5 2 1 10 0
1 8 5 2 1 11 0
3 8 5 2 3 0
2 8 5 2 3 1 0
1 8 5 2 3 7 0
1 8 5 2 3 9 0
2 8 5 2 3 10 0
5 8 5 2 3 11 0
2 8 5 2 7 3 0
1 8 5 2 7 9 0
2 8 5 2 7 10 0
1 8 5 2 7 11 0
2 8 5 2 9 0
1 8 5 2 9 3 0
1 8 5 2 9 4 0
1 8 5 2 9 11 0
2 8 5 2 10 0
5 8 5 2 10 1 0
2 8 5 2 10 3 0
5 8 5 2 10 7 0
2 8 5 2 10 9 0
2 8 5 2 10 11 0
1 8 5 2 11 0
1 8 5 2 11 1 0
1 8 5 2 11 4 0
1 8 5 2 11 10 0
263 8 5 3 0
42 8 5 3 1 0
14 8 5 3 1 2 0
1 8 5 3 1 4 0
2 8 5 3 1 6 0
4 8 5 3 1 7 0
20 8 5 3 1 9 0
72 8 5 3 1 10 0
9 8 5 3 1 11 0
1 8 5 3 2 1 0
1 8 5 3 2 6 0
2 8 5 3 2 9 0
8 8 5 3 2 10 0
2 8 5 3 4 0
3 8 5 3 4 1 0
2 8 5 3 4 9 0
1 8 5 3 4 10 0
1 8 5 3 6 0
1 8 5 3 6 2 0
3 8 5 3 6 10 0
1 8 5 3 7 0
1 8 5 3 7 6 0
2 8 5 3 7 9 0
3 8 5 3 7 10 0
2 8 5 3 7 11 0
14 8 5 3 9 0
16 8 5 3 9 1 0
3 8 5 3 9 2 0
1 8 5 3 9 4 0
4 8 5 3 9 7 0
12 8 5 3 9 10 0
1 8 5 3 9 11 0
43 8 5 3 10 0
58 8 5 3 10 1 0
12 8 5 3 10 2 0
4 8 5 3 10 4 0
2 8 5 3 10 6 0
5 8 5 3 10 7 0
10 8 5 3 10 9 0
9 8 5 3 10 11 0
4 8 5 3 11 0
6 8 5 3 11 1 0
1 8 5 3 11 2 0
1 8 5 3 11 4 0
2 8 5 3 11 7 0
3 8 5 3 11 9 0
8 8 5 3 11 10 0
2 8 5 4 0
1 8 5 4 1 11 0
1 8 5 4 2 1 0
1 8 5 4 3 9 0
1 8 5 4 3 10 0
1 8 5 4 6 11 0
1 8 5 4 7 11 0
1 8 5 4 9 7 0
1 8 5 4 9 11 0
2 8 5 4 10 0
1 8 5 4 10 1 0
1 8 5 4 10 9 0
1 8 5 4 11 9 0
2 8 5 4 11 10 0
6 8 5 6 0
1 8 5 6 1 0
1 8 5 6 1 7 0
1 8 5 6 3 0
1 8 5 6 3 2 0
1 8 5 6 3 9 0
2 8 5 6 3 10 0
1 8 5 6 9 3 0
1 8 5 6 10 0
2 8 5 6 10 3 0
1 8 5 6 11 3 0
13 8 5 7 0
1 8 5 7 1 3 0
4 8 5 7 1 10 0
1 8 5 7 1 11 0
1 8 5 7 2 1 0
1 8 5 7 2 10 0
1 8 5 7 2 11 0
2 8 5 7 3 0
1 8 5 7 3 1 0
1 8 5 7 3 2 0
2 8 5 7 3 10 0
1 8 5 7 4 2 0
2 8 5 7 4 6 0
1 8 5 7 9 11 0
4 8 5 7 10 0
3 8 5 7 10 1 0
2 8 5 7 10 2 0
3 8 5 7 10 3 0
1 8 5 7 10 11 0
1 8 5 7 11 2 0
1 8 5 7 11 4 0
67 8 5 9 0
4 8 5 9 1 0
9 8 5 9 1 3 0
2 8 5 9 1 4 0
1 8 5 9 1 10 0
5 8 5 9 1 11 0
2 8 5 9 2 0
2 8 5 9 2 1 0
2 8 5 9 2 10 0
2 8 5 9 2 11 0
6 8 5 9 3 0
3 8 5 9 3 1 0
2 8 5 9 3 2 0
2 8 5 9 3 6 0
11 8 5 9 3 10 0
2 8 5 9 3 11 0
2 8 5 9 7 1 0
1 8 5 9 7 2 0
2 8 5 9 7 4 0
1 8 5 9 7 10 0
1 8 5 9 7 11 0
6 8 5 9 10 0
8 8 5 9 10 1 0
4 8 5 9 10 2 0
4 8 5 9 10 3 0
2 8 5 9 10 4 0
4 8 5 9 10 7 0
1 8 5 9 10 11 0
2 8 5 9 11 0
1 8 5 9 11 3 0
1 8 5 9 11 7 0
1004 8 5 10 0
59 8 5 10 1 0
16 8 5 10 1 2 0
73 8 5 10 1 3 0
5 8 5 10 1 4 0
2 8 5 10 1 6 0
6 8 5 10 1 7 0
12 8 5 10 1 9 0
14 8 5 10 1 11 0
15 8 5 10 2 0
10 8 5 10 2 1 0
11 8 5 10 2 3 0
2 8 5 10 2 4 0
2 8 5 10 2 6 0
13 8 5 10 2 7 0
3 8 5 10 2 9 0
4 8 5 10 2 11 0
58 8 5 10 3 0
136 8 5 10 3 1 0
12 8 5 10 3 2 0
2 8 5 10 3 4 0
13 8 5 10 3 6 0
8 8 5 10 3 7 0
9 8 5 10 3 9 0
5 8 5 10 3 11 0
3 8 5 10 4 0
1 8 5 10 4 2 0
1 8 5 10 4 3 0
1 8 5 10 4 6 0
3 8 5 10 4 7 0
3 8 5 10 4 11 0
4 8 5 10 6 0
1 8 5 10 6 1 0
1 8 5 10 6 3 0
1 8 5 10 6 4 0
1 8 5 10 6 9 0
1 8 5 10 6 11 0
21 8 5 10 7 0
8 8 5 10 7 1 0
22 8 5 10 7 2 0
5 8 5 10 7 3 0
3 8 5 10 7 4 0
3 8 5 10 7 6 0
2 8 5 10 7 9 0
4 8 5 10 7 11 0
11 8 5 10 9 0
10 8 5 10 9 1 0
2 8 5 10 9 2 0
5 8 5 10 9 3 0
2 8 5 10 9 4 0
1 8 5 10 9 6 0
1 8 5 10 9 7 0
3 8 5 10 9 11 0
8 8 5 10 11 0
10 8 5 10 11 1 0
5 8 5 10 11 2 0
11 8 5 10 11 3 0
2 8 5 10 11 4 0
5 8 5 10 11 7 0
2 8 5 10 11 9 0
26 8 5 11 0
2 8 5 11 1 0
1 8 5 11 1 2 0
7 8 5 11 1 3 0
1 8 5 11 1 9 0
5 8 5 11 1 10 0
1 8 5 11 2 1 0
1 8 5 11 2 4 0
1 8 5 11 2 10 0
1 8 5 11 3 0
4 8 5 11 3 1 0
4 8 5 11 3 2 0
3 8 5 11 3 7 0
8 8 5 11 3 9 0
4 8 5 11 3 10 0
1 8 5 11 4 1 0
1 8 5 11 4 2 0
1 8 5 11 6 7 0
2 8 5 11 7 1 0
1 8 5 11 7 2 0
1 8 5 11 7 3 0
2 8 5 11 9 0
3 8 5 11 9 1 0
1 8 5 11 9 2 0
1 8 5 11 9 4 0
1 8 5 11 9 7 0
6 8 5 11 9 10 0
6 8 5 11 10 0
1 8 5 11 10 1 0
4 8 5 11 10 2 0
5 8 5 11 10 3 0
1 8 5 11 10 4 0
1 8 5 11 10 7 0
5 8 5 11 10 9 0
34 8 6 0
2 8 6 1 0
1 8 6 1 2 0
1 8 6 1 3 4 0
1 8 6 1 3 10 0
1 8 6 1 5 3 0
1 8 6 1 5 7 0
1 8 6 2 0
1 8 6 2 1 0
1 8 6 2 7 10 0
20 8 6 3 0
1 8 6 3 1 0
1 8 6 3 1 9 0
1 8 6 3 4 11 0
1 8 6 3 5 0
1 8 6 3 5 1 0
1 8 6 3 5 2 0
1 8 6 3 5 7 0
13 8 6 3 5 10 0
3 8 6 3 5 11 0
2 8 6 3 7 0
4 8 6 3 9 10 0
1 8 6 3 9 11 0
5 8 6 3 10 0
1 8 6 3 10 1 0
5 8 6 3 10 5 0
2 8 6 3 10 9 0
1 8 6 3 10 11 0
3 8 6 3 11 5 0
1 8 6 4 0
1 8 6 4 3 9 0
1 8 6 4 10 11 0
5 8 6 5 0
1 8 6 5 1 9 0
1 8 6 5 3 0
1 8 6 5 3 2 0
2 8 6 5 3 10 0
1 8 6 5 3 11 0
1 8 6 5 4 3 0
1 8 6 5 4 9 0
1 8 6 5 9 3 0
4 8 6 5 10 3 0
1 8 6 5 11 3 0
2 8 6 7 0
2 8 6 7 11 3 0
1 8 6 7 11 5 0
7 8 6 9 0
1 8 6 9 1 2 0
1 8 6 9 2 1 0
1 8 6 9 2 11 0
1 8 6 9 3 5 0
2 8 6 9 3 10 0
1 8 6 9 4 3 0
1 8 6 9 5 10 0
1 8 6 9 10 7 0
10 8 6 10 0
1 8 6 10 1 0
1 8 6 10 1 2 0
1 8 6 10 1 7 0
1 8 6 10 2 0
1 8 6 10 2 9 0
1 8 6 10 3 2 0
1 8 6 10 3 4 0
1 8 6 10 3 5 0
3 8 6 10 3 9 0
1 8 6 10 3 11 0
1 8 6 10 4 0
1 8 6 10 4 7 0
3 8 6 10 5 0
1 8 6 10 5 1 0
1 8 6 10 5 3 0
1 8 6 10 5 9 0
1 8 6 10 7 0
1 8 6 10 7 3 0
1 8 6 10 7 11 0
1 8 6 10 9 3 0
1 8 6 10 9 7 0
1 8 6 10 11 3 0
1 8 6 11 1 7 0
1 8 6 11 3 0
1 8 6 11 4 3 0
1 8 6 11 9 7 0
1 8 6 11 10 3 0
1 8 6 11 10 7 0
55 8 7 0
11 8 7 1 0
2 8 7 1 2 3 0
1 8 7 1 2 9 0
1 8 7 1 3 0
4 8 7 1 3 5 0
3 8 7 1 3 10 0
2 8 7 1 3 11 0
1 8 7 1 4 10 0
1 8 7 1 5 2 0
1 8 7 1 5 3 0
1 8 7 1 5 4 0
1 8 7 1 5 10 0
2 8 7 1 5 11 0
1 8 7 1 6 0
1 8 7 1 9 2 0
1 8 7 1 9 3 0
1 8 7 1 10 0
1 8 7 1 10 3 0
2 8 7 1 10 4 0
2 8 7 1 10 5 0
3 8 7 1 11 3 0
1 8 7 1 11 10 0
9 8 7 2 0
1 8 7 2 1 0
3 8 7 2 1 4 0
1 8 7 2 1 5 0
3 8 7 2 3 0
3 8 7 2 3 5 0
1 8 7 2 3 6 0
2 8 7 2 3 10 0
2 8 7 2 4 3 0
1 8 7 2 4 10 0
1 8 7 2 4 11 0
2 8 7 2 5 0
1 8 7 2 5 1 0
2 8 7 2 5 3 0
2 8 7 2 5 4 0
2 8 7 2 5 6 0
1 8 7 2 5 11 0
1 8 7 2 6 4 0
1 8 7 2 9 5 0
3 8 7 2 10 1 0
3 8 7 2 10 5 0
1 8 7 2 10 9 0
1 8 7 2 10 11 0
1 8 7 2 11 1 0
1 8 7 2 11 4 0
1 8 7 2 11 5 0
10 8 7 3 0
3 8 7 3 1 2 0
1 8 7 3 1 4 0
1 8 7 3 1 5 0
1 8 7 3 1 10 0
1 8 7 3 1 11 0
1 8 7 3 2 4 0
2 8 7 3 2 5 0
1 8 7 3 2 11 0
2 8 7 3 4 9 0
1 8 7 3 5 0
6 8 7 3 5 1 0
3 8 7 3 5 10 0
1 8 7 3 5 11 0
1 8 7 3 9 1 0
1 8 7 3 9 2 0
1 8 7 3 9 11 0
2 8 7 3 10 0
3 8 7 3 10 1 0
1 8 7 3 10 2 0
1 8 7 3 10 5 0
1 8 7 3 10 6 0
1 8 7 3 10 9 0
2 8 7 3 11 10 0
3 8 7 4 0
1 8 7 4 1 0
1 8 7 4 2 3 0
1 8 7 4 3 0
1 8 7 4 3 1 0
1 8 7 4 3 9 0
1 8 7 4 5 1 0
2 8 7 4 5 2 0
1 8 7 4 5 10 0
1 8 7 4 5 11 0
1 8 7 4 10 1 0
1 8 7 4 10 11 0
2 8 7 4 11 2 0
6 8 7 5 0
1 8 7 5 1 0
1 8 7 5 1 3 0
2 8 7 5 1 10 0
1 8 7 5 2 0
1 8 7 5 2 3 0
1 8 7 5 2 9 0
1 8 7 5 2 10 0
1 8 7 5 2 11 0
1 8 7 5 3 0
3 8 7 5 3 1 0
1 8 7 5 3 2 0
1 8 7 5 3 4 0
1 8 7 5 3 10 0
1 8 7 5 3 11 0
1 8 7 5 4 0
1 8 7 5 4 11 0
3 8 7 5 10 0
2 8 7 5 10 1 0
2 8 7 5 10 2 0
2 8 7 5 10 4 0
2 8 7 5 10 6 0
1 8 7 5 10 11 0
1 8 7 5 11 3 0
1 8 7 5 11 6 0
1 8 7 5 11 9 0
3 8 7 6 0
1 8 7 6 11 5 0
1 8 7 6 11 10 0
5 8 7 9 0
1 8 7 9 3 11 0
1 8 7 9 4 11 0
1 8 7 9 5 2 0
1 8 7 9 5 3 0
1 8 7 9 5 4 0
1 8 7 9 5 11 0
1 8 7 9 6 3 0
2 8 7 9 10 1 0
1 8 7 9 10 3 0
1 8 7 9 11 1 0
1 8 7 9 11 10 0
22 8 7 10 0
5 8 7 10 1 0
9 8 7 10 1 2 0
3 8 7 10 1 3 0
1 8 7 10 1 4 0
4 8 7 10 1 5 0
1 8 7 10 1 9 0
3 8 7 10 1 11 0
7 8 7 10 2 0
3 8 7 10 2 1 0
1 8 7 10 2 3 0
3 8 7 10 2 4 0
3 8 7 10 2 5 0
1 8 7 10 2 9 0
1 8 7 10 3 0
6 8 7 10 3 1 0
1 8 7 10 3 2 0
1 8 7 10 3 4 0
2 8 7 10 3 5 0
1 8 7 10 3 6 0
1 8 7 10 3 11 0
1 8 7 10 4 9 0
8 8 7 10 5 0
3 8 7 10 5 1 0
4 8 7 10 5 2 0
3 8 7 10 5 3 0
1 8 7 10 5 9 0
1 8 7 10 6 0
1 8 7 10 6 3 0
1 8 7 10 9 1 0
2 8 7 10 9 2 0
2 8 7 10 9 4 0
1 8 7 10 11 0
11 8 7 11 0
1 8 7 11 1 3 0
1 8 7 11 2 5 0
3 8 7 11 2 10 0
1 8 7 11 3 2 0
1 8 7 11 3 9 0
1 8 7 11 4 1 0
2 8 7 11 4 2 0
2 8 7 11 5 1 0
4 8 7 11 5 3 0
9 8 7 11 5 4 0
1 8 7 11 5 9 0
1 8 7 11 9 10 0
1 8 7 11 10 0
3 8 7 11 10 1 0
1 8 7 11 10 2 0
1 8 7 11 10 5 0
2 8 7 11 10 6 0
622 8 9 0
123 8 9 1 0
8 8 9 1 2 0
9 8 9 1 2 3 0
4 8 9 1 2 4 0
2 8 9 1 2 5 0
2 8 9 1 2 6 0
1 8 9 1 2 7 0
3 8 9 1 2 10 0
2 8 9 1 2 11 0
32 8 9 1 3 0
7 8 9 1 3 2 0
6 8 9 1 3 4 0
46 8 9 1 3 5 0
3 8 9 1 3 6 0
1 8 9 1 3 7 0
43 8 9 1 3 10 0
19 8 9 1 3 11 0
6 8 9 1 4 3 0
2 8 9 1 4 5 0
1 8 9 1 4 10 0
1 8 9 1 4 11 0
6 8 9 1 5 0
3 8 9 1 5 2 0
18 8 9 1 5 3 0
2 8 9 1 5 7 0
17 8 9 1 5 10 0
8 8 9 1 5 11 0
3 8 9 1 6 0
1 8 9 1 7 0
4 8 9 1 7 3 0
1 8 9 1 7 4 0
4 8 9 1 7 5 0
2 8 9 1 7 11 0
12 8 9 1 10 0
4 8 9 1 10 2 0
25 8 9 1 10 3 0
2 8 9 1 10 4 0
8 8 9 1 10 5 0
1 8 9 1 10 6 0
6 8 9 1 10 11 0
2 8 9 1 11 0
5 8 9 1 11 2 0
9 8 9 1 11 3 0
2 8 9 1 11 4 0
5 8 9 1 11 5 0
5 8 9 1 11 10 0
12 8 9 2 0
3 8 9 2 1 0
2 8 9 2 1 3 0
2 8 9 2 1 5 0
1 8 9 2 1 6 0
2 8 9 2 1 7 0
8 8 9 2 1 10 0
3 8 9 2 1 11 0
1 8 9 2 3 0
4 8 9 2 3 1 0
3 8 9 2 3 5 0
2 8 9 2 3 10 0
1 8 9 2 4 1 0
3 8 9 2 4 3 0
1 8 9 2 4 5 0
1 8 9 2 4 7 0
2 8 9 2 5 0
3 8 9 2 5 3 0
2 8 9 2 5 4 0
1 8 9 2 5 10 0
1 8 9 2 5 11 0
2 8 9 2 7 0
1 8 9 2 10 0
1 8 9 2 10 1 0
1 8 9 2 10 5 0
1 8 9 2 10 7 0
1 8 9 2 10 11 0
2 8 9 2 11 1 0
192 8 9 3 0
43 8 9 3 1 0
12 8 9 3 1 2 0
4 8 9 3 1 4 0
64 8 9 3 1 5 0
4 8 9 3 1 6 0
5 8 9 3 1 7 0
38 8 9 3 1 10 0
25 8 9 3 1 11 0
3 8 9 3 2 0
3 8 9 3 2 1 0
2 8 9 3 2 4 0
6 8 9 3 2 5 0
4 8 9 3 2 10 0
4 8 9 3 2 11 0
2 8 9 3 4 0
2 8 9 3 4 1 0
1 8 9 3 4 2 0
1 8 9 3 4 6 0
2 8 9 3 4 10 0
2 8 9 3 4 11 0
11 8 9 3 5 0
25 8 9 3 5 1 0
5 8 9 3 5 2 0
3 8 9 3 5 4 0
2 8 9 3 5 6 0
1 8 9 3 5 7 0
12 8 9 3 5 10 0
13 8 9 3 5 11 0
2 8 9 3 6 5 0
2 8 9 3 6 10 0
2 8 9 3 6 11 0
4 8 9 3 7 0
1 8 9 3 7 4 0
1 8 9 3 7 10 0
2 8 9 3 7 11 0
17 8 9 3 10 0
36 8 9 3 10 1 0
6 8 9 3 10 2 0
6 8 9 3 10 4 0
18 8 9 3 10 5 0
3 8 9 3 10 6 0
2 8 9 3 10 7 0
5 8 9 3 10 11 0
15 8 9 3 11 0
7 8 9 3 11 1 0
2 8 9 3 11 2 0
2 8 9 3 11 4 0
6 8 9 3 11 5 0
1 8 9 3 11 6 0
15 8 9 3 11 10 0
32 8 9 4 0
2 8 9 4 1 0
3 8 9 4 1 3 0
1 8 9 4 1 5 0
2 8 9 4 1 7 0
3 8 9 4 1 10 0
3 8 9 4 1 11 0
3 8 9 4 2 1 0
2 8 9 4 2 11 0
2 8 9 4 3 1 0
3 8 9 4 3 2 0
8 8 9 4 3 5 0
6 8 9 4 3 7 0
3 8 9 4 3 10 0
2 8 9 4 3 11 0
1 8 9 4 5 0
1 8 9 4 5 1 0
1 8 9 4 5 2 0
1 8 9 4 5 7 0
1 8 9 4 5 10 0
2 8 9 4 5 11 0
3 8 9 4 7 1 0
2 8 9 4 7 2 0
2 8 9 4 7 3 0
1 8 9 4 7 10 0
1 8 9 4 7 11 0
2 8 9 4 10 0
5 8 9 4 10 1 0
3 8 9 4 10 2 0
3 8 9 4 10 3 0
1 8 9 4 10 6 0
3 8 9 4 10 7 0
1 8 9 4 10 11 0
1 8 9 4 11 0
2 8 9 4 11 1 0
3 8 9 4 11 2 0
3 8 9 4 11 3 0
2 8 9 4 11 7 0
1 8 9 4 11 10 0
350 8 9 5 0
10 8 9 5 1 0
3 8 9 5 1 2 0
11 8 9 5 1 3 0
3 8 9 5 1 4 0
3 8 9 5 1 7 0
9 8 9 5 1 10 0
3 8 9 5 1 11 0
1 8 9 5 2 1 0
2 8 9 5 2 3 0
1 8 9 5 2 6 0
2 8 9 5 2 7 0
4 8 9 5 2 10 0
11 8 9 5 3 0
25 8 9 5 3 1 0
4 8 9 5 3 2 0
3 8 9 5 3 7 0
7 8 9 5 3 10 0
3 8 9 5 3 11 0
1 8 9 5 4 0
1 8 9 5 4 1 0
3 8 9 5 4 2 0
1 8 9 5 4 3 0
3 8 9 5 6 0
1 8 9 5 6 1 0
2 8 9 5 7 0
1 8 9 5 7 1 0
3 8 9 5 7 2 0
1 8 9 5 7 6 0
1 8 9 5 7 10 0
11 8 9 5 10 0
10 8 9 5 10 1 0
12 8 9 5 10 2 0
7 8 9 5 10 3 0
2 8 9 5 10 4 0
6 8 9 5 10 7 0
3 8 9 5 10 11 0
6 8 9 5 11 0
4 8 9 5 11 1 0
4 8 9 5 11 3 0
1 8 9 5 11 4 0
